,purchasenumber,purchaseobjectinfo,responsibleorg_regnum,responsibleorg_fullname,responsibleorg_postaddress,responsibleorg_factaddress,responsibleorg_inn,responsiblerole,max_price,final_price,execution_period,ratio_final_to_reserve_price,month_year,zip_code
17,101200007321000016,Поставка чистящих и моющих средств,1012000073,ПОЛНОМОЧНОЕ ПРЕДСТАВИТЕЛЬСТВО РЕСПУБЛИКИ БАШКОРТОСТАН ПРИ ПРЕЗИДЕНТЕ РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 105066, Москва, УЛИЦА ДОБРОСЛОБОДСКАЯ, ДОМ 6/СТРОЕНИЕ 2","Российская Федерация, 105066, Москва, УЛИЦА ДОБРОСЛОБОДСКАЯ, ДОМ 6/СТРОЕНИЕ 2",7708026538,CU,133825.4,24299.65,53.0,0.18157726410681382,2021-05,105066
40,104200002921000016,Поставка салфеток (искусственная замша),1042000029,ПОСТОЯННОЕ ПРЕДСТАВИТЕЛЬСТВО КАБАРДИНО-БАЛКАРСКОЙ РЕСПУБЛИКИ ПРИ ПРЕЗИДЕНТЕ РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 119004, Москва, УЛ АЛЕКСАНДРА СОЛЖЕНИЦЫНА, 4/СТР.1","Российская Федерация, 119004, Москва, УЛ АЛЕКСАНДРА СОЛЖЕНИЦЫНА, 4/СТР.1",7704091374,CU,4275.0,44593.13,172.0,10.431141520467836,2021-05,119004
59,111200004620000016,Оказание услуг по текущему ремонту транспортных средств Полномочного Представительства РТ в РФ в 2021 году. ,1112000046,ПОЛНОМОЧНОЕ ПРЕДСТАВИТЕЛЬСТВО РЕСПУБЛИКИ ТАТАРСТАН В РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 115172, Москва, ПЕР КОТЕЛЬНИЧЕСКИЙ 3-Й, ДОМ 13/15/КОРПУС 1","Российская Федерация, 115172, Москва, ПЕР КОТЕЛЬНИЧЕСКИЙ 3-Й, ДОМ 13/15/КОРПУС 1",7701039591,CU,1000000.0,361360.0,339.0,0.36136,2020-12,115172
76,111200004621000016,Услуги по медицинскому обслуживанию сотрудников Полномочного представительства Республики Татарстан в Российской Федерации в 2022 году,1112000046,ПОЛНОМОЧНОЕ ПРЕДСТАВИТЕЛЬСТВО РЕСПУБЛИКИ ТАТАРСТАН В РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 115172, Москва, ПЕР КОТЕЛЬНИЧЕСКИЙ 3-Й, ДОМ 13/15/КОРПУС 1","Российская Федерация, 115172, Москва, ПЕР КОТЕЛЬНИЧЕСКИЙ 3-Й, ДОМ 13/15/КОРПУС 1",7701039591,CU,2205000.0,410000.0,341.0,0.18594104308390022,2021-12,115172
114,122100013521000016,Продление срока действия неисключительных прав (лицензий) на программное обеспечение системы анализа и мониторинга уязвимостей в 2022-2023 годах,1221000135,МИНИСТЕРСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПО РАЗВИТИЮ ДАЛЬНЕГО ВОСТОКА И АРКТИКИ,"Российская Федерация, 109544, Москва, УЛИЦА ШКОЛЬНАЯ, 25","Российская Федерация, 109544, Москва, УЛИЦА ШКОЛЬНАЯ, 25",2721194275,CU,4768000.0,226003600.0,777.0,47.40008389261745,2021-12,109544
144,138200004021000016,Поставка автомобильного бензина и дизельного топлива через сеть АЗС по пластиковым картам безналичного обслуживания,1382000040,"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПРЕДСТАВИТЕЛЬСТВО ГУБЕРНАТОРА И ПРАВИТЕЛЬСТВА КАМЧАТСКОГО КРАЯ ПРИ ПРАВИТЕЛЬСТВЕ РОССИЙСКОЙ ФЕДЕРАЦИИ""","Российская Федерация, 101000, Москва, ул.Маросейка, д. 3/13, стр.1

","Российская Федерация, 101000, Москва, УЛ. МАРОСЕЙКА, Д. 3/13/СТР. 1, ЭТАЖ 1",7710108442,CU,990584.0,300000.0,341.0,0.30285165114720203,2021-12,mistake
214,148300001521000032,"Устройство водоотвода по адресу: г. Москва, пос. Марушкинское, пос. станции Крекшино, от ул. 2я Заводская до ул. 1-я Заводская д. 149 (среди субъектов малого предпринимательства или социально ориентированных некоммерческих организаций)",1483000015,АДМИНИСТРАЦИЯ ВНУТРИГОРОДСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ - ПОСЕЛЕНИЯ МАРУШКИНСКОЕ В ГОРОДЕ МОСКВЕ,"143350, г.Москва, д. Марушкино, ул.Липовая аллея, д.5,","Российская Федерация, 108809, Москва, Марушкинское п, Марушкино д, УЛИЦА ЛИПОВАЯ АЛЛЕЯ, ДОМ 5",5030051650,CU,1441664.65,4655760.0,395.0,3.2294334192074423,2021-06,143350
272,148300006821000032,Поставка средств малой механизации,1483000068,АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ТРОИЦК,"Российская Федерация, 108840, Москва, Троицк г, УЛИЦА ЮБИЛЕЙНАЯ, ДОМ 3","Российская Федерация, 108840, Москва, Троицк г, УЛИЦА ЮБИЛЕЙНАЯ, ДОМ 3",5046005836,RA,923717.63,3581147.72,220.0,3.8768857534959036,2021-05,108840
298,148300006821000064,Поставка машины дорожной универсальной СДК-65115К на базе самосвал КАМАЗ-65115 или эквивалент.,1483000068,АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ТРОИЦК,"Российская Федерация, 108840, Москва, Троицк г, УЛИЦА ЮБИЛЕЙНАЯ, ДОМ 3","Российская Федерация, 108840, Москва, Троицк г, УЛИЦА ЮБИЛЕЙНАЯ, ДОМ 3",5046005836,RA,6970666.67,6754836.0,364.0,0.9690372986949898,2021-09,108840
324,148300006821000096,"Оказание услуг по организационно-техническому сопровождению автоматизированных систем финансовых расчетов  «Бюджет муниципального образования» (АИС «ФИНАНСЫ - БЮДЖЕТ МО») в рамках исполнения муниципального бюджета , автоматизированной информационной системы (АИС «Обработка данных ФНС»), автоматизированной информационной системы (АИС «Доход»),  автоматизированной информационной системы «Планирование бюджета муниципального образования» (АИС «Планирование бюджета МО»).",1483000068,АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ТРОИЦК,"Российская Федерация, 108840, Москва, Троицк г, УЛИЦА ЮБИЛЕЙНАЯ, ДОМ 3","Российская Федерация, 108840, Москва, Троицк г, УЛИЦА ЮБИЛЕЙНАЯ, ДОМ 3",5046005836,RA,576000.0,1224000.0,340.0,2.125,2021-11,108840
